Dalvik/2.1.0 (Linux; U; Android 6; RMX8712 Build/M4XD44)
Dalvik/2.1.0 (Linux; U; Android 10; Sony Xperia U323F Build/QQ3A.398148.030)
Dalvik/2.1.0 (Linux; U; Android 11; Huawei T933T Build/RQ1D.261484.075)
Dalvik/2.1.0 (Linux; U; Android 13; Huawei W395 Max Build/TP1A.483339.093)
Dalvik/2.1.0 (Linux; U; Android 9; Nokia Asha P229N Build/PQ1A.204988.019)
Dalvik/2.1.0 (Linux; U; Android 9; Itel 762T Build/PQ2A.506426.051)
Dalvik/2.1.0 (Linux; U; Android 5; Sony Xperia T535 Ultra Build/LOB6EV)
Dalvik/2.1.0 (Linux; U; Android 6; Huawei X749 Build/MDMWGP)
Dalvik/2.1.0 (Linux; U; Android 8; Sony Xperia 774C Build/OPM3.121936.072)
Dalvik/2.1.0 (Linux; U; Android 5; Vivo N623 Build/L6XNR6)
Dalvik/2.1.0 (Linux; U; Android 6; Redmi Note 435 Max Build/MUM06E)
Dalvik/2.1.0 (Linux; U; Android 6; Huawei I360 Pro Build/M8QRC1)
Dalvik/2.1.0 (Linux; U; Android 6; Huawei T558 Max Build/MH0Y5V)
Dalvik/2.1.0 (Linux; U; Android 11; Nokia Asha L312 Pro Build/RQ1D.683765.013)
Dalvik/2.1.0 (Linux; U; Android 12; Infinix 756J Build/SQ1D.790546.087)
Dalvik/2.1.0 (Linux; U; Android 11; Sony Xperia 936B Build/RD2A.764027.067)
Dalvik/2.1.0 (Linux; U; Android 7; LM-344 Pro Build/NS3Y6Z)
Dalvik/2.1.0 (Linux; U; Android 14; Huawei 410 Max Build/TQ2A.428100.073)
Dalvik/2.1.0 (Linux; U; Android 8; Huawei 911 Ultra Build/OPR6.244529.053)
Dalvik/2.1.0 (Linux; U; Android 6; SM-S722B Build/MS12WF)
Dalvik/2.1.0 (Linux; U; Android 5; Huawei C317Q Build/LX63N7)
Dalvik/2.1.0 (Linux; U; Android 11; Huawei 842T Build/RQ3A.984431.022)
Dalvik/2.1.0 (Linux; U; Android 12; Realme B984 Max Build/SQ1A.564492.061)
